Node,Betweenness Centrality
medic,4.0483644607578536e-05
would,0.0
encount,0.0
visit,0.0
consult,0.0
viewpoint,0.0
focus,0.0
trainabl,0.0
kind,0.0
much,0.0
avalu,0.0
sequenc,0.0
promot,0.0
efﬁcient,0.0
call,0.0
method,0.0
must,0.0
illustr,0.0
seen,0.0
mauksch,0.0
give,0.0
hint,0.0
spite,0.0
increas,0.0
document,0.0
ﬁnding,0.0
summar,0.0
occur,0.0
ongo,0.0
suffer,0.0
less,0.0
greater,0.0
ideal,0.0
see,0.0
said,0.0
donecr,0.0
purpos,0.0
clin,0.0
lancet,0.0
bertaki,0.0
kd,0.0
care,0.0
valu,0.0
origin,0.0
ﬁnd,0.0
given,0.0
interact,5.397819281010472e-05
spontan,0.0
write,0.0
talk,0.0
chain,0.0
chosen,0.0
brieﬂi,0.0
emot,0.0
arnstein,0.0
trond,0.0
depart,0.0
consid,0.0
answer,0.0
current,0.0
neuroscientiﬁc,0.0
sexpress,0.0
pain,0.0
anger,0.0
grief,0.0
identifi,0.0
might,0.0
intermedi,0.0
design,0.0
reveal,0.0
attenu,0.0
worri,0.0
invit,0.0
repli,0.0
statement,0.0
questionnair,0.0
tress,0.0
follow,0.0
contagion,0.0
unbalanc,0.0
mobil,0.0
identiﬁc,0.0
utilis,0.0
paper,0.0
specifi,0.0
se,0.0
found,0.0
pattern,0.0
project,0.0
lower,0.0
exert,0.0
siolog,0.0
step,8.996365468350786e-06
circuitri,0.0
way,0.0
therefor,0.0
propos,0.0
necessari,0.0
get,0.0
stuck,0.0
longer,0.0
event,0.0
attempt,0.0
distress,0.0
subserv,0.0
true,0.0
closer,0.0
behavior,0.0
ick,0.0
w,0.0
editor,0.0
accuraci,0.0
preferenti,0.0
engag,0.0
rizzolatti,0.0
g,0.0
abnorm,0.0
ar,0.0
languag,0.0
primari,0.0
reliabl,0.0
valid,0.0
go,0.0
beyond,0.0
pressman,0.0
dimens,0.0
phan,0.0
kl,0.0
ohira,0.0
nomura,0.0
ichikawa,0.0
isowa,0.0
kim,0.0
sh,0.0
hamann,0.0
enck,0.0
benedetti,0.0
f,0.0
schedlowski,0.0
expect,0.0
anxieti,0.0
eral,0.0
modulatori,0.0
diverg,0.0
regul,0.0
view,0.0
promin,0.0
featur,0.0
deﬁn,0.0
claim,0.0
somat,0.0
highli,0.0
later,0.0
better,0.0
integr,0.0
cogn,0.0
behaviour,0.0
present,0.0
therapi,0.0
certain,0.0
physiolog,0.0
speciﬁc,0.0
facilit,0.0
seem,0.0
motiv,0.0
brain,2.698909640505236e-05
known,0.0
distinct,0.0
mechan,0.0
term,0.0
neurobiolog,0.0
process,0.0
select,0.0
review,0.0
inﬂuenc,0.0
involv,0.0
explain,0.0
social,2.2490913670876966e-05
suggest,5.847637554428011e-05
broadli,0.0
speciﬁ,0.0
prematur,0.0
part,0.0
ann,0.0
rev,0.0
measur,0.0
fam,0.0
affect,0.0
becom,0.0
optim,0.0
surpris,0.0
research,0.0
although,0.0
moreov,0.0
digit,0.0
marit,0.0
disrupt,0.0
health,1.349454820252618e-05
magnet,0.0
ispropos,0.0
outcom,0.0
discuss,0.0
mean,0.0
attent,0.0
may,0.0
conceptu,0.0
adher,0.0
obvious,0.0
enhanc,0.0
least,0.0
buffer,0.0
differenti,0.0
fact,0.0
quit,0.0
place,0.0
cardiovascular,0.0
lead,0.0
phenomena,0.0
lizat,0.0
exposur,0.0
activ,0.0
ad,0.0
train,0.0
repres,0.0
along,0.0
mention,0.0
text,0.0
premotor,0.0
interestingli,0.0
motor,0.0
caution,0.0
intent,0.0
medial,0.0
sinc,0.0
dorsal,0.0
anterior,0.0
individu,0.0
reward,0.0
commun,0.0
element,0.0
interchang,0.0
ultim,0.0
third,0.0
teach,0.0
efﬁcienc,0.0
empir,0.0
literatur,0.0
ﬁeld,0.0
profoundli,0.0
like,0.0
simpl,0.0
emphas,0.0
import,0.0
interview,0.0
alexithym,0.0
style,0.0
doctor,0.0
curriculum,0.0
perform,0.0
manipul,0.0
reason,0.0
incred,0.0
other,0.0
strictli,0.0
toolbox,0.0
refus,0.0
unnecessari,0.0
establish,0.0
investig,0.0
favour,0.0
intend,0.0
paradigm,0.0
formul,0.0
feel,0.0
intens,0.0
desir,0.0
agre,0.0
address,0.0
patient,0.0
relationsgener,0.0
practicevalu,0.0
chainneurobiologyneuropsychologycommun,0.0
trainingabstract,0.0
journal,0.0
homepag,0.0
