Word,Frequency
medic,29
consult,48
view,10
valu,37
chain,29
neurobehavior,9
approach,7
emot,115
regul,39
arnstein,1
finset,14
trond,1
mjaaland,11
depart,2
behaviour,24
scienc,5
medicin,4
univers,2
oslo,4
norway,2
introduct,2
articl,4
discuss,9
two,6
viewpoint,2
ﬁrst,5
glanc,1
complet,3
unrel,1
propos,7
concept,7
primarili,1
appli,10
econom,1
moreov,4
neurosci,12
perspect,10
analyz,2
brain,18
mechan,19
underli,5
core,5
process,30
affect,34
sequenc,2
step,20
ﬁnd,2
combin,1
fruit,4
twopurpos,1
specifi,4
compon,5
relationship,12
impact,8
outcom,19
may,31
test,3
empir,4
gain,3
insight,3
potenti,10
term,10
notion,1
origin,1
introduc,1
economist,1
michael,1
porter,3
describ,5
organis,1
could,9
organ,3
product,13
manag,3
order,7
competit,2
speciﬁc,10
consecut,1
oper,5
activ,37
end,4
built,1
everi,5
singl,1
make,5
build,2
prior,1
produc,1
ad,4
use,7
metaphor,5
analysi,9
focus,2
trainabl,1
commun,43
doctor,46
includ,11
curriculum,1
consequ,4
patient,83
becom,1
creat,12
terminolog,2
help,5
highlight,2
effect,40
larger,4
variat,2
tool,3
one,24
hold,1
better,3
control,7
chanc,1
accord,3
intent,8
interact,20
consid,3
answer,2
kind,3
much,2
given,3
lie,2
qualiti,9
individu,6
level,4
createpati,1
educ,11
counsel,9
info,1
histori,2
receiv,3
juli,1
revis,1
form,1
novemb,1
accept,2
decemb,1
keyword,1
physician,7
relationsgener,1
practicevalu,1
chainneurobiologyneuropsychologycommun,1
skill,7
trainingabstract,1
object,1
present,9
model,15
element,7
relev,4
current,2
knowledg,7
four,7
neuroscientiﬁc,1
evid,9
correspond,3
basic,6
select,4
review,12
result,6
establish,3
rapport,35
disclosur,6
cue,21
concern,25
sexpress,1
empathi,28
posit,57
reapprais,25
conclus,4
emphasi,13
goal,9
orient,3
understand,6
ispropos,1
indic,17
case,3
suggest,15
explain,4
associ,28
implic,3
interest,6
conceptu,5
train,4
elsevi,2
ireland,2
right,10
reserv,2
paper,10
part,5
base,7
aach,1
confer,1
charleston,1
octob,1
name,3
theoret,1
health,15
care,3
research,9
neuropsycholog,1
second,1
author,3
ofth,1
conceiv,1
idea,1
avalu,1
chosen,2
withinthat,1
framework,1
institut,1
faculti,1
postofﬁc,1
box,6
blindern,1
tel,1
fax,1
address,3
list,1
avail,1
sciencedirect,1
journal,1
homepag,1
see,10
front,1
matter,1
go,2
event,4
ideal,2
mean,7
sufﬁcient,1
omit,1
creation,6
least,2
three,6
clinic,7
seri,2
discret,1
perform,1
manipul,2
separ,2
purposefuln,1
ss,1
meet,2
reason,5
incred,1
import,12
choos,4
proper,2
action,4
contend,1
merit,1
section,1
assist,1
promin,1
featur,1
task,4
particular,6
gener,7
practic,3
allow,1
show,3
express,18
neg,19
pain,4
anger,1
grief,1
well,4
contribut,2
identifi,3
promot,6
optim,2
surpris,1
common,2
mani,4
other,6
adher,4
strictli,1
biomed,1
reluct,2
deﬁn,4
gross,9
inﬂuenc,5
experi,14
key,3
success,6
factor,3
life,2
evidenc,1
larg,4
number,15
diagnos,1
dysregul,1
play,2
role,9
claim,1
time,3
strategi,7
great,1
repres,4
focu,5
cognit,11
restructur,1
therapi,5
wherea,4
respons,21
tendenc,1
somat,1
instanc,5
cardiovascular,3
diseas,5
problem,2
although,2
frequent,1
tend,5
report,8
efﬁcient,1
toolbox,1
fig,9
context,3
trait,2
state,3
aspect,4
situat,1
background,1
variabl,1
middl,1
actual,8
interchang,2
regimen,1
inform,4
ill,2
treatment,2
option,1
andmotiv,1
chang,7
thought,3
relief,3
might,1
intermedi,1
sens,4
mediat,2
ultim,1
would,5
call,2
shall,1
neurobehaviour,3
theori,8
vioural,1
provid,2
involv,8
point,5
relat,12
method,1
start,1
observ,7
certain,2
along,1
take,5
reductionist,1
reduc,7
physiolog,9
convey,3
messag,2
full,1
goe,2
must,3
subject,6
person,14
experienti,2
sender,1
also,15
abl,3
explor,2
third,1
refus,1
unnecessari,1
want,2
howev,13
stage,1
priori,1
literatur,8
teach,1
obvious,2
brieﬂi,1
highli,1
systemat,2
search,1
databas,1
infig,1
taken,3
illustr,1
denot,2
natur,5
interperson,8
often,9
linda,2
robert,2
rosenth,3
essenti,1
mutual,6
attent,7
parti,1
reciproc,5
balanc,1
ongo,2
formal,1
instrument,1
assess,3
typic,4
seen,3
